PK_MLX,root-meaning,ML-group,MLX-numerics,Notes
wfx_orient,orient,,wfx01 ,
wfx_i,iterate,orient,"wfx02, wfx03, wfx04",
wfx_e,embed,orient,"wfx02, wfx04",
wfx_ord#,order,"1,2,3,4,5,6,7,8",wfx08,
wfx_b,behavior,,"wfx02, wfx03, wfx06, wfx08, wfx12",
wfx_b1,ready,behavior,"wfx03, wfx06, wfx08, wfx12",
wfx_b2,set,behavior,"wfx03, wfx06, wfx08, wfx12",
wfx_b3,go,behavior,"wfx03, wfx06, wfx08, wfx12",
wfx_tension,tension,,"wfx02, wfx03",
wfx_novelty,novelty,tension,"wfx02, wfx03",
wfx_pattern,pattern,tension,"wfx02, wfx03",
wfx_balance,balance,tension,"wfx01, wfx02, wfx03",
wfx_context,context,,"wfx03, wfx04 ","always wfx_orient = ""i"""
wfx_exist,exist,context,wfx01,
wfx_confide,confide,context,"wfx03, wfx04 ",
wfx_connect,connect,context,"wfx03, wfx04 ",
wfx_respond,respond,context,"wfx03, wfx04 ",
wfx_focus,focus,,"wfx03, wfx04, wfx09, wfx12","always wfx_orient = ""e"""
wfx_implicit,implicit,focus,"wfx03, wfx04, wfx09, wfx12",
wfx_influence,influence,focus,"wfx03, wfx04, wfx09, wfx12",
wfx_explicit,explicit,focus,"wfx03, wfx04, wfx09, wfx12",
wfx_integrate,integrate,,"wfx07, wfx08",
wfx_boundless,boundless,integrate,wfx08,
wfx_axis,axis,integrate,wfx08,
wfx_vibe,vibe,integrate,wfx08,
wfx_constraint,constraint,integrate,wfx08,
wfx_represent,represent,integrate,wfx08,
wfx_capacity,capacity,integrate,wfx08,
wfx_communion,communion,integrate,wfx08,